review_id,order_id,review_score,review_comment_message,sentiment
1f83ac8151dd375e41ab519523ade3b1,e08878ad70acad81d0e90f59e56ce9a6,3,Decent quality but packaging could be better.,neutral
5230dc021b8ce3fe53ed728af873a6d1,fc850201b579f014488f1cca40aaa06d,5,Delivered on time and works perfectly. Very satisfied.,positive
782be3066f784bbc0a5f4f5256172488,655e65fc77c14d8f715cf7f9684182b2,1,Do not buy this. Extremely poor quality.,negative
c68c027ea1d9979f147099c68efd93e6,e87c331d21a3fb3085079a9b32f4a56c,5,"Amazing product, exceeded my expectations.",positive
d1022bc36ae98c11c7479dedc36f837f,5982fca4536769e5024e12eb8b6f473c,5,Top quality product. Will definitely be ordering more.,positive
de7648e683482829b3ac3ba3a4ae64a0,21dd600edd64e225d04af3670d1803b3,5,Best purchase I've made in a while. Highly recommend!,positive
b9867004151eef78e82f18728f2a3cee,c5b977015b27b1b086bebf07bd454df6,1,Never arrived. Very frustrating experience.,negative
affce0d83d9e8f6af570bc097c2e424f,286a461fcd1b94e24227817fa93f8a57,2,Not great. Feels flimsy and poorly made.,negative
37cf238c78a9b1d3a26bf09a95cd4738,c16b33b318036905a37290c0c735c522,5,Delivered on time and works perfectly. Very satisfied.,positive
601c812cdc1469e4de18f7554ff482c4,5bab7c41f1405d62a214dc3648c37e1c,5,"Wow, this is even better than I expected!",positive
792c280ad20ea5022c042cf683c9d78f,f81d082e88c93adee5b45ea41c711d67,4,"Solid product, meets expectations. Would recommend.",positive
0ab7ecbd201f6f66732df6dd71099462,e52c9dfec957c503bed5d050a39c740f,3,Average product. Expected a bit more for the price.,neutral
b2a694b42ac51fe76833c5d0cc0a6285,5bfad1932352fcd447ddb67c215b5552,5,"Amazing product, exceeded my expectations.",positive
5dd67a60f5b385f2cd698f6288dccc9d,5410087995e1ebb53c26ce8e52ff29e0,5,Delivered on time and works perfectly. Very satisfied.,positive
2dd1159bb2de9b46ec7bfa29b215f3a3,c1b3a881aed70415ec2c1cd40d217d5d,5,Great value for money. Couldn't be happier.,positive
a20c24976e5130fdc8ac993ecd6b649b,2d7112fbe786c9c56050866c853e3a7f,2,Wouldn't recommend. Doesn't match the description.,negative
9791f0dfe234f14aac2889e246f3b3e7,f3f0bc4d599d1d5251f1b37cec7b407e,4,"Works well, does exactly what it says. Solid buy.",positive
197bfe2ab89f7ac13254da906c96b241,949090648eb1ba086b3bb1abb642966c,4,"Good quality, comfortable and well made.",positive
f131d351ca82b5d6c47f6ad7627ce4ab,476b812a7e4fc972646eb390517bddcb,5,Perfect! Works great and looks even better.,positive
d097dcba9c2696887d5f42cf0b1c4b44,f1bdbadeb03d8a0e4c6c2f3ffaf32b35,5,Fantastic! My go-to from now on.,positive
e2b8e7ace19be686157be608e40c55f3,1b74651a2ec8ee2d9e115d444f07f019,4,Pleased with this. A few small improvements could make it perfect.,positive
a537d928ca91b21832f6079ad3a1cf59,2276bb734e4633294d205c492f92ee24,5,Absolutely love this! Exactly what I needed.,positive
699469f4730a5393d7304c12e3770d8d,8a73953585d1e53096b1003a5e2dfa4b,4,Pleased with this. A few small improvements could make it perfect.,positive
016abaf45b39538eb415f80bbd0a15a4,ba254174e8ca271319fbd168acd8684d,5,Delivered on time and works perfectly. Very satisfied.,positive
791bdff3149617460a9ba5df7653e20a,54369f1e37831273ce26f463ca306881,4,Pleased with this. A few small improvements could make it perfect.,positive
e7b22b33f3399ab9106214f86e5edf6d,4e08bdd0a71b43ba19f8c0a89c8ce665,2,Had issues from day one. Not worth the money.,negative
385a950b97d99b4f95d6196ef8b4f1c8,00a9536682ecb394a3794c1608200803,3,Decent quality but packaging could be better.,neutral
d028800212f03ade8edb0203748c0259,36c68e2e8ad21203f7f149a315550bb7,5,"Wow, this is even better than I expected!",positive
5fe060511e036fb302419d0f0dd3dd41,c576c7d1b3c8437dfb227e02746d74e9,5,Delivered on time and works perfectly. Very satisfied.,positive
